oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
Sharp,GX1,2002,Discontinued,,110.0,Mini-SIM,"GFC, 65K Colors",,"120 x 160 pixels, 4:3 ratio",V1,
Siemens,CX70,2004,Discontinued,,90.0,Mini-SIM,"TFT, 65K colors",,"132 x 176 pixels, 9 lines, 4:3 ratio",V1,
Siemens,PenPhone,2004,Cancelled,,,Mini-SIM,LCD,,,V1,
Siemens,ST60,2004,Discontinued,,87.0,Mini-SIM,"TFT, 65K colors",,"120 x 160 pixels, 4:3 ratio",V1,
Siemens,U15,2003,Discontinued,,140.0,Mini-SIM,"TFT, 65K colors",,176 x 220 pixels,V1,
Siemens,ST55,2003,Discontinued,,87.0,Mini-SIM,"TFT, 65K colors",,"120 x 160 pixels, 7 lines, 4:3 ratio",V1,
Siemens,Xelibri 1,2003,Discontinued,,73.0,Mini-SIM,Monochrome graphic,,101 x 64 pixels,V1,
Siemens,Xelibri 2,2003,Discontinued,,73.0,Mini-SIM,Monochrome graphic,,"101 x 65 pixels, 5 lines",V1,
Siemens,Xelibri 3,2003,Discontinued,,55.0,Mini-SIM,Monochrome graphic,,"101 x 56 pixels, 5 lines, 17:9 ratio",V1,
Siemens,Xelibri 4,2003,Discontinued,,71.0,Mini-SIM,Monochrome graphic,,"101 x 65 pixels, 5 lines",V1,
Siemens,M55,2003,Discontinued,,83.0,Mini-SIM,"CSTN, 4096 colors",,"101 x 80 pixels, 7 lines",V1,
Siemens,SL55,2003,Discontinued,,79.0,Mini-SIM,"CSTN, 4096 colors",,101 x 80 pixels,V1,
Siemens,S55,2002,Discontinued,,85.0,Mini-SIM,"CSTN, 256 colors",,"101 x 80 pixels, 7 lines",V1,
Siemens,SX45,2001,Discontinued,,330.0,Mini-SIM,"TFT resistive touchscreen, 65K colors",,"240 x 320 pixels, 4:3 ratio",V1,Microsoft Windows CE 3.0 for PocketPC
Siemens,SL45i,2001,Discontinued,,88.0,Mini-SIM,Monochrome graphic,1.5,"101 x 80 pixels, 7 lines (~86 ppi density)",V1,
Siemens,SL42,2001,Discontinued,,88.0,Mini-SIM,Monochrome graphic,1.5,"101 x 80 pixels, 7 lines (~86 ppi density)",V1,
Siemens,SL45,2000,Discontinued,,88.0,Mini-SIM,Monochrome graphic,1.5,"101 x 80 pixels, 7 lines (~86 ppi density)",V1,
Siemens,A36,2000,Discontinued,,120.0,Mini-SIM,Alphanumeric,,3 x 12 chars,V1,
Siemens,M30,2000,Discontinued,,110.0,Mini-SIM,Alphanumeric,,2 x 12 chars,V1,
Siemens,C28,2000,Discontinued,,135.0,Mini-SIM,Alphanumeric,,3 x 12 chars,V1,
Sony,Xperia 1 II,2020,Available. Released 2020,,181.4,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 1B colors",6.5,"1644 x 3840 pixels, 21:9 ratio (~643 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass, color spectrum",Android 10
Sony,Xperia 10 II,2020,Available. Released 2020,,151.0,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors",6.0,"1080 x 2520 pixels, 21:9 ratio (~457 ppi density)","Fingerprint (side-mounted), accelerometer, proximity, compass",Android 10
Sony,Xperia L4,2020,Available. Released 2020,,178.0,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.2,"720 x 1680 pixels, 21:9 ratio (~295 ppi density)","Fingerprint (side-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
Sony,Xperia 5,2019,Available. Released 2019,,164.0,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors",6.1,"1080 x 2520 pixels, 21:9 ratio (~449 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass, color spectrum",Android 9.0 (Pie)
