oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
Ulefone,T2,2019,Available. Released 2019,,197.2,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.7,"1080 x 2280 pixels, 19:9 ratio (~377 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Ulefone,Armor X3,2019,Available. Released 2019,,235.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.5,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)","Accelerometer, proximity, compass",Android 9.0 (Pie)
Ulefone,Armor 5S,2019,Available. Released 2019,,228.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.85,"720 x 1512 pixels, 19:9 ratio (~286 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, coulombmeter",Android 9.0 (Pie)
Ulefone,Armor 6E,2019,Available. Released 2019,,267.5,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.2,"1080 x 2246 pixels, 18.7:9 ratio (~402 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, baroceptor, uv sensor",Android 9.0 (Pie)
Ulefone,Note 7P,2019,Available. Released 2019,,178.8,"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.1,600 x 1280 pixels (~232 ppi density),"Fingerprint (rear-mounted), accelerometer, proximity",Android 9.0 (Pie)
Ulefone,S11,2019,Available. Released 2019,,177.5,"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.1,600 x 1280 pixels (~232 ppi density),"Accelerometer, proximity",Android 8.1 Oreo (Go edition)
Ulefone,Note 7,2019,Available. Released 2019,,177.5,"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.1,600 x 1280 pixels (~232 ppi density),"Accelerometer, proximity",Android 8.1 Oreo (Go edition)
Ulefone,Armor X2,2018,Available. Released 2018,,256.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.5,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)","Fingerprint (side-mounted), accelerometer, proximity",Android 8.1 (Oreo)
Ulefone,S1,2018,Available. Released 2018,,183.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.5,"480 x 960 pixels, 18:9 ratio (~195 ppi density)","Accelerometer, proximity",Android 8.1 Oreo (Go edition)
Ulefone,Armor X,2018,Available. Released 2018,,256.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.5,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)","Fingerprint (side-mounted), accelerometer, proximity, compass",Android 8.1 (Oreo)
Ulefone,Armor 2,2017,Available. Released 2017,,270.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.0,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","Fingerprint (front-mounted), accelerometer, proximity, gyro, compass, barometer",Android 7.0 (Nougat)
Ulefone,T2 Pro,2018,Cancelled,,159.0,"Dual SIM (Nano-SIM/Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.7,"1080 x 2258 pixels, 19:9 ratio (~374 ppi density)","Accelerometer, gyro, proximity, compass",Android 8.1 (Oreo)
Unnecto,Quattro Z,2014,Discontinued,,110.0,Dual SIM (dual stand-by),IPS LCD capacitive touchscreen,4.0,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",V1,Android 4.2.2 (Jelly Bean)
Unnecto,Drone Z,2014,Discontinued,,100.0,Dual SIM (dual stand-by),Capacitive touchscreen,3.5,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",V1,Android 4.2.2 (Jelly Bean)
Unnecto,Drone,2012,Discontinued,,117.0,Dual SIM (dual stand-by),TFT resistive touchscreen,3.2,"240 x 400 pixels, 5:3 ratio (~146 ppi density)",V1,Android 2.2 (Froyo)
Vertu,Ascent Ti Damascus Steel,2009,Discontinued,,160.0,Mini-SIM,"TFT, 16M colors",2.0,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",V1,
vivo,V19 Neo,2020,Available. Released 2020,,176.0,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.44,"1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
vivo,Z5x (2020),2020,Available. Released 2020,,204.1,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.53,"1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
vivo,X50 Pro+,2020,,,181.5,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.56,1080 x 2376 pixels (~398 ppi density),"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum",Android 10
vivo,X50 Pro,2020,Available. Released 2020,,181.5,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.56,1080 x 2376 pixels (~398 ppi density),"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum",Android 10
vivo,Y70s,2020,Available. Released 2020,,190.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.53,"1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Fingerprint (side-mounted), accelerometer, proximity, compass",Android 10
vivo,iQOO Z1,2020,Available. Released 2020,,195.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.57,"1080 x 2408 pixels, 20:9 ratio (~402 ppi density)","Fingerprint (side-mounted), accelerometer, proximity, compass",Android 10
vivo,X50 Lite,2020,Available. Released 2020,,190.2,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.38,"1080 x 2340 pixels, 19.5:9 ratio (~404 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
vivo,Y30,2020,Available. Released 2020,,197.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.47,"720 x 1560 pixels, 19.5:9 ratio (~266 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 10
vivo,iQOO Neo3 5G,2020,Available. Released 2020,,198.1,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.57,"1080 x 2408 pixels, 20:9 ratio (~402 ppi density)","Fingerprint (side-mounted), accelerometer, proximity, compass",Android 10
vivo,Y50,2020,Available. Released 2020,,197.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.53,"1080 x 2400 pixels, 20:9 ratio (~403 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 10
vivo,V19,2020,Available. Released 2020,,186.5,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.44,"1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
vivo,S6 5G,2020,Available. Released 2020,,181.0,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.44,"1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
vivo,NEX 3S 5G,2020,Available. Released 2020,,219.5,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.89,1080 x 2256 pixels (~363 ppi density),"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
vivo,V19 (Indonesia),2020,Available. Released 2020,,176.0,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.44,"1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
vivo,Z6 5G,2020,Available. Released 2020,,201.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.57,"1080 x 2400 pixels, 20:9 ratio (~401 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 10
vivo,iQOO 3 5G,2020,Available. Released 2020,,214.5,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.44,"1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
vivo,X30 Pro,2019,Available. Released 2019,,198.5,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.44,"1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
vivo,X30,2019,Available. Released 2019,,196.5,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.44,"1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
vivo,V17,2019,Available. Released 2019,,176.0,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.44,"1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
vivo,iQOO Neo 855 Racing,2019,Available. Released 2019,,198.5,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.38,"1080 x 2340 pixels, 19.5:9 ratio (~404 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
vivo,Z5i,2019,Available. Released 2019,,193.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.53,"1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
vivo,V17 (Russia),2019,Available. Released 2019,,186.7,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.38,"1080 x 2340 pixels, 19.5:9 ratio (~404 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
vivo,S1 Pro,2019,Available. Released 2019,,186.7,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.38,"1080 x 2340 pixels, 19.5:9 ratio (~404 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
vivo,Y3 Standard,2019,Available. Released 2019,,191.5,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.35,720 x 1544 pixels (~268 ppi density),"Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
vivo,Y19,2019,Available. Released 2019,,193.0,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.53,"1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
vivo,iQOO Neo 855,2019,Available. Released 2019,,198.5,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.38,"1080 x 2340 pixels, 19.5:9 ratio (~404 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
vivo,Y11 (2019),2019,Available. Released 2019,,190.5,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.35,720 x 1544 pixels (~268 ppi density),"Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
vivo,Y3 (4GB+64GB),2019,Available. Released 2019,,190.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.35,720 x 1544 pixels (~268 ppi density),"Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
vivo,Y3,2019,Available. Released 2019,,190.5,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.35,720 x 1544 pixels (~268 ppi density),"Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
vivo,NEX 3 5G,2019,Available. Released 2019,,218.5,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.89,1080 x 2256 pixels (~363 ppi density),"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
vivo,V17 Pro,2019,Available. Released 2019,,201.8,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.44,"1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
vivo,NEX 3,2019,Available. Released 2019,,217.3,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.89,1080 x 2256 pixels (~363 ppi density),"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
vivo,Z1x,2019,Available. Released 2019,,189.6,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.38,"1080 x 2340 pixels, 19.5:9 ratio (~404 ppi density)","Fingerprint (under display, optical), accelerometer, proximity, compass",Android 9.0 (Pie)
vivo,iQOO Pro 5G,2019,Available. Released 2019,,217.0,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.41,"1080 x 2340 pixels, 19.5:9 ratio (~402 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
vivo,iQOO Pro,2019,Available. Released 2019,,215.0,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.41,"1080 x 2340 pixels, 19.5:9 ratio (~402 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
vivo,Y90,2019,Available. Released 2019,,163.5,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.22,"720 x 1520 pixels, 19:9 ratio (~270 ppi density)","Accelerometer, proximity, compass",Android 8.1 (Oreo)
vivo,V17 Neo,2019,Available. Released 2019,,179.0,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.38,"1080 x 2340 pixels, 19.5:9 ratio (~404 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
vivo,Z1Pro,2019,Available. Released 2019,,201.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.53,"1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
vivo,iQOO Neo,2019,Available. Released 2019,,198.5,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.38,"1080 x 2340 pixels, 19.5:9 ratio (~404 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
vivo,Z5x,2019,Available. Released 2019,,204.1,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.53,"1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
vivo,S1 Pro (China),2019,Available. Released 2019,,185.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.39,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
vivo,Z3x,2019,Available. Released 2019,,150.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.26,"1080 x 2280 pixels, 19:9 ratio (~403 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
vivo,Y17,2019,Available. Released 2019,,190.5,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.35,720 x 1544 pixels (~268 ppi density),"Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
vivo,Y12,2019,Available. Released 2019,,190.5,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.35,720 x 1544 pixels (~268 ppi density),"Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
vivo,S1 (China),2019,Available. Released 2019,,189.5,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.53,"1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
vivo,Y91i (India),2019,Available. Released 2019,,163.5,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.22,"720 x 1520 pixels, 19:9 ratio (~270 ppi density)","Accelerometer, proximity, compass",Android 8.1 (Oreo)
vivo,Y15S (2015),2015,Available. Released 2015,,130.0,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",4.5,"480 x 854 pixels, 16:9 ratio (~218 ppi density)","Accelerometer, proximity, compass",Android 5.1 (Lollipop)
vivo,Y15 (2013),2013,Discontinued,,130.0,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",4.5,"480 x 854 pixels, 16:9 ratio (~218 ppi density)","Accelerometer, proximity, compass",Android 4.2.2 (Jelly Bean)
VK Mobile,VK4500,2005,Discontinued,,86.0,Mini-SIM,"TFT, 256K colors",2.0,176 x 220 pixels (~141 ppi density),V1,
VK Mobile,VK800,2005,Discontinued,,79.0,Mini-SIM,"TFT, 256K colors",,128 x 143 pixels,V1,
Vodafone,Smart V10,2019,Available. Released 2019,,145.0,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors",5.9,"720 x 1560 pixels, 19.5:9 ratio (~291 ppi density)","Accelerometer, proximity",Android 9.0 (Pie)
Vodafone,Smart N10,2019,Available. Released 2019,,160.0,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors",5.67,720 x 1500 pixels (~293 ppi density),"Accelerometer, gyro, proximity",Android 9.0 (Pie)
Vodafone,247 Solar,2010,Discontinued,,,Mini-SIM,"TFT, 65K colors",1.44,,V1,
Vodafone,V720,,Discontinued,,100.0,Mini-SIM,"TFT, 256K colors",2.0,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",V1,
Wiko,Y80,2019,Available. Released 2019,,185.0,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.99,"720 x 1440 pixels, 18:9 ratio (~269 ppi density)","Accelerometer, proximity, compass",Android 9.0 Pie
Wiko,Sunny3,2019,Available. Released 2019,,140.0,"Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors",5.0,"480 x 854 pixels, 16:9 ratio (~196 ppi density)","Accelerometer, proximity",Android 8.0 Oreo (Go edition)
Wiko,View3 Pro,2019,Available. Released 2019,,184.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.3,"1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Wiko,View3,2019,Available. Released 2019,,178.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.26,"720 x 1520 pixels, 19:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Wiko,Sunny2 Plus,2017,Available. Released 2017,,165.0,"Dual SIM (Micro-SIM/Mini-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors",5.0,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Accelerometer,Android 7.0 (Nougat)
Wiko,Sunny2,2017,Available. Released 2017,,125.0,"Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors",4.0,"480 x 800 pixels, 5:3 ratio (~233 ppi density)","Accelerometer, proximity, compass",Android 6.0 (Marshmallow)
Wiko,Sunny Max,2016,Available. Released 2016,,149.0,"Dual SIM (Mini-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors",4.0,"480 x 800 pixels, 5:3 ratio (~233 ppi density)","Accelerometer, proximity, compass",Android 6.0 (Marshmallow)
Xiaomi,Redmi 9,2020,Available. Released 2020,,198.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.53,"1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 10
Xiaomi,Redmi 10X Pro 5G,2020,Available. Released 2020,,208.0,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.57,"1080 x 2400 pixels, 20:9 ratio (~401 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
Xiaomi,Redmi 10X 5G,2020,Available. Released 2020,,205.0,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.57,"1080 x 2400 pixels, 20:9 ratio (~401 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
Xiaomi,Redmi 10X 4G,2020,Available. Released 2020,,199.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.53,"1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 10
Xiaomi,Redmi K30i 5G,2020,Available. Released 2020,,,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.67,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 10
Xiaomi,Poco F2 Pro,2020,Available. Released 2020,,219.0,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.67,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer",Android 10
Xiaomi,Redmi K30 5G Racing,2020,Available. Released 2020,,208.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.67,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 10
Xiaomi,Redmi Note 9 Pro,2020,Available. Released 2020,,209.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.67,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 10
Xiaomi,Redmi Note 9,2020,Available. Released 2020,,199.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.53,"1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 10
Xiaomi,Mi Note 10 Lite,2020,Available. Released 2020,,204.0,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.47,"1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, compass",Android 10
Xiaomi,Mi 10 Youth 5G,2020,Available. Released 2020,,192.0,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.57,"1080 x 2400 pixels, 20:9 ratio (~401 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
Xiaomi,Mi 10 Lite 5G,2020,Available. Released 2020,,192.0,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.57,"1080 x 2400 pixels, 20:9 ratio (~401 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
Xiaomi,Redmi K30 Pro Zoom,2020,Available. Released 2020,,218.0,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.67,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer",Android 10
Xiaomi,Redmi K30 Pro,2020,Available. Released 2020,,218.0,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.67,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer",Android 10
Xiaomi,Redmi Note 9S,2020,Available. Released 2020,,209.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.67,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 10
Xiaomi,Redmi Note 9 Pro Max,2020,Available. Released 2020,,209.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.67,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 10
Xiaomi,Redmi Note 9 Pro (India),2020,Available. Released 2020,,209.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.67,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 10
Xiaomi,Black Shark 3 Pro,2020,Available. Released 2020,,253.0,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",7.1,"1440 x 3120 pixels, 19.5:9 ratio (~484 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
Xiaomi,Black Shark 3,2020,Available. Released 2020,,222.0,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.67,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
Xiaomi,Mi 10 Pro 5G,2020,Available. Released 2020,,208.0,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.67,"1080 x 2340 pixels, 19.5:9 ratio (~386 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer",Android 10
